Plot,FPractice,Order,Family,Number,Pollinator
Plot42,LS,Diptera,Bombylildae,1,yes
Plot42,LS,Diptera,Calliphoridae,6,no
Plot42,LS,Diptera,Muscidae,6,no
Plot42,LS,Diptera,Rhiniidae,1,no
Plot42,LS,Diptera,Sarcophagidae,1,no
Plot42,LS,Diptera,Syrphidae,6,yes
Plot42,LS,Hymenoptera,Apidae,7,yes
Plot42,LS,Hymenoptera,Braconidae,1,no
Plot42,LS,Hymenoptera,Ichneumonidae,3,no
Plot42,LS,Hymenoptera,Mutilidae,1,no
Plot42,LS,Hymenoptera,Philanthidae,4,no
Plot42,LS,Hymenoptera,Scoliidae,1,no
Plot42,LS,Hymenoptera,Vespidae,1,no
Plot43,LS,Diptera,Bombylildae,1,yes
Plot43,LS,Diptera,Calliphoridae,3,no
Plot43,LS,Diptera,Muscidae,3,no
Plot43,LS,Diptera,Rhiniidae,1,no
Plot43,LS,Diptera,Sarcophagidae,1,no
Plot43,LS,Diptera,Syrphidae,5,yes
Plot43,LS,Hymenoptera,Apidae,12,yes
Plot43,LS,Hymenoptera,Braconidae,3,no
Plot43,LS,Hymenoptera,Ichneumonidae,1,no
Plot43,LS,Hymenoptera,Mutilidae,1,no
Plot43,LS,Hymenoptera,Philanthidae,1,no
Plot43,LS,Hymenoptera,Scoliidae,1,no
Plot43,LS,Hymenoptera,Vespidae,3,no
Plot44,LS,Diptera,Bombylildae,1,yes
Plot44,LS,Diptera,Calliphoridae,5,no
Plot44,LS,Diptera,Muscidae,8,no
Plot44,LS,Diptera,Rhiniidae,1,no
Plot44,LS,Diptera,Sarcophagidae,1,no
Plot44,LS,Diptera,Syrphidae,14,yes
Plot44,LS,Hymenoptera,Apidae,21,yes
Plot44,LS,Hymenoptera,Braconidae,1,no
Plot44,LS,Hymenoptera,Ichneumonidae,1,no
Plot44,LS,Hymenoptera,Mutilidae,1,no
Plot44,LS,Hymenoptera,Philanthidae,6,no
Plot44,LS,Hymenoptera,Scoliidae,1,no
Plot44,LS,Hymenoptera,Vespidae,1,no
Plot45,LS,Diptera,Bombylildae,1,yes
Plot45,LS,Diptera,Calliphoridae,3,no
Plot45,LS,Diptera,Muscidae,2,no
Plot45,LS,Diptera,Rhiniidae,1,no
Plot45,LS,Diptera,Sarcophagidae,1,no
Plot45,LS,Diptera,Syrphidae,7,yes
Plot45,LS,Hymenoptera,Apidae,6,yes
Plot45,LS,Hymenoptera,Braconidae,1,no
Plot45,LS,Hymenoptera,Ichneumonidae,1,no
Plot45,LS,Hymenoptera,Mutilidae,1,no
Plot45,LS,Hymenoptera,Philanthidae,1,no
Plot45,LS,Hymenoptera,Scoliidae,1,no
Plot45,LS,Hymenoptera,Vespidae,1,no
Plot01,SH,Diptera,Bombylildae,1,yes
Plot01,SH,Diptera,Calliphoridae,4,no
Plot01,SH,Diptera,Muscidae,1,no
Plot01,SH,Diptera,Rhiniidae,1,no
Plot01,SH,Diptera,Sarcophagidae,1,no
Plot01,SH,Diptera,Syrphidae,1,yes
Plot01,SH,Hymenoptera,Apidae,20,yes
Plot01,SH,Hymenoptera,Braconidae,1,no
Plot01,SH,Hymenoptera,Ichneumonidae,1,no
Plot01,SH,Hymenoptera,Mutilidae,1,no
Plot01,SH,Hymenoptera,Philanthidae,1,no
Plot01,SH,Hymenoptera,Scoliidae,1,no
Plot01,SH,Hymenoptera,Vespidae,1,no
Plot02,SH,Diptera,Bombylildae,1,yes
Plot02,SH,Diptera,Calliphoridae,1,no
Plot02,SH,Diptera,Muscidae,1,no
Plot02,SH,Diptera,Rhiniidae,1,no
Plot02,SH,Diptera,Sarcophagidae,1,no
Plot02,SH,Diptera,Syrphidae,7,yes
Plot02,SH,Hymenoptera,Apidae,29,yes
Plot02,SH,Hymenoptera,Braconidae,1,no
Plot02,SH,Hymenoptera,Ichneumonidae,1,no
Plot02,SH,Hymenoptera,Mutilidae,1,no
Plot02,SH,Hymenoptera,Philanthidae,1,no
Plot02,SH,Hymenoptera,Scoliidae,1,no
Plot02,SH,Hymenoptera,Vespidae,1,no
Plot03,SH,Diptera,Bombylildae,1,yes
Plot03,SH,Diptera,Calliphoridae,1,no
Plot03,SH,Diptera,Muscidae,1,no
Plot03,SH,Diptera,Rhiniidae,1,no
Plot03,SH,Diptera,Sarcophagidae,1,no
Plot03,SH,Diptera,Syrphidae,8,yes
Plot03,SH,Hymenoptera,Apidae,30,yes
Plot03,SH,Hymenoptera,Braconidae,1,no
Plot03,SH,Hymenoptera,Ichneumonidae,1,no
Plot03,SH,Hymenoptera,Mutilidae,1,no
Plot03,SH,Hymenoptera,Philanthidae,1,no
Plot03,SH,Hymenoptera,Scoliidae,1,no
Plot03,SH,Hymenoptera,Vespidae,1,no
Plot04,SH,Diptera,Bombylildae,1,yes
Plot04,SH,Diptera,Calliphoridae,1,no
Plot04,SH,Diptera,Muscidae,1,no
Plot04,SH,Diptera,Rhiniidae,1,no
Plot04,SH,Diptera,Sarcophagidae,1,no
Plot04,SH,Diptera,Syrphidae,1,yes
Plot04,SH,Hymenoptera,Apidae,19,yes
Plot04,SH,Hymenoptera,Braconidae,1,no
Plot04,SH,Hymenoptera,Ichneumonidae,1,no
Plot04,SH,Hymenoptera,Mutilidae,1,no
Plot04,SH,Hymenoptera,Philanthidae,1,no
Plot04,SH,Hymenoptera,Scoliidae,1,no
Plot04,SH,Hymenoptera,Vespidae,1,no
Plot05,SH,Diptera,Bombylildae,1,yes
Plot05,SH,Diptera,Calliphoridae,3,no
Plot05,SH,Diptera,Muscidae,1,no
Plot05,SH,Diptera,Rhiniidae,1,no
Plot05,SH,Diptera,Sarcophagidae,1,no
Plot05,SH,Diptera,Syrphidae,1,yes
Plot05,SH,Hymenoptera,Apidae,1,yes
Plot05,SH,Hymenoptera,Braconidae,1,no
Plot05,SH,Hymenoptera,Ichneumonidae,1,no
Plot05,SH,Hymenoptera,Mutilidae,1,no
Plot05,SH,Hymenoptera,Philanthidae,1,no
Plot05,SH,Hymenoptera,Scoliidae,1,no
Plot05,SH,Hymenoptera,Vespidae,1,no
Plot06,SH,Diptera,Bombylildae,1,yes
Plot06,SH,Diptera,Calliphoridae,6,no
Plot06,SH,Diptera,Muscidae,1,no
Plot06,SH,Diptera,Rhiniidae,1,no
Plot06,SH,Diptera,Sarcophagidae,1,no
Plot06,SH,Diptera,Syrphidae,3,yes
Plot06,SH,Hymenoptera,Apidae,14,yes
Plot06,SH,Hymenoptera,Braconidae,1,no
Plot06,SH,Hymenoptera,Ichneumonidae,1,no
Plot06,SH,Hymenoptera,Mutilidae,1,no
Plot06,SH,Hymenoptera,Philanthidae,1,no
Plot06,SH,Hymenoptera,Scoliidae,1,no
Plot06,SH,Hymenoptera,Vespidae,1,no
Plot07,SH,Diptera,Bombylildae,1,yes
Plot07,SH,Diptera,Calliphoridae,4,no
Plot07,SH,Diptera,Muscidae,1,no
Plot07,SH,Diptera,Rhiniidae,1,no
Plot07,SH,Diptera,Sarcophagidae,1,no
Plot07,SH,Diptera,Syrphidae,1,yes
Plot07,SH,Hymenoptera,Apidae,11,yes
Plot07,SH,Hymenoptera,Braconidae,1,no
Plot07,SH,Hymenoptera,Ichneumonidae,1,no
Plot07,SH,Hymenoptera,Mutilidae,1,no
Plot07,SH,Hymenoptera,Philanthidae,1,no
Plot07,SH,Hymenoptera,Scoliidae,1,no
Plot07,SH,Hymenoptera,Vespidae,3,no
Plot08,SH,Diptera,Bombylildae,1,yes
Plot08,SH,Diptera,Calliphoridae,3,no
Plot08,SH,Diptera,Muscidae,1,no
Plot08,SH,Diptera,Rhiniidae,1,no
Plot08,SH,Diptera,Sarcophagidae,1,no
Plot08,SH,Diptera,Syrphidae,1,yes
Plot08,SH,Hymenoptera,Apidae,5,yes
Plot08,SH,Hymenoptera,Braconidae,1,no
Plot08,SH,Hymenoptera,Ichneumonidae,1,no
Plot08,SH,Hymenoptera,Mutilidae,1,no
Plot08,SH,Hymenoptera,Philanthidae,1,no
Plot08,SH,Hymenoptera,Scoliidae,1,no
Plot08,SH,Hymenoptera,Vespidae,3,no
Plot09,SH,Diptera,Bombylildae,1,yes
Plot09,SH,Diptera,Calliphoridae,1,no
Plot09,SH,Diptera,Muscidae,1,no
Plot09,SH,Diptera,Rhiniidae,1,no
Plot09,SH,Diptera,Sarcophagidae,1,no
Plot09,SH,Diptera,Syrphidae,3,yes
Plot09,SH,Hymenoptera,Apidae,1,yes
Plot09,SH,Hymenoptera,Braconidae,1,no
Plot09,SH,Hymenoptera,Ichneumonidae,1,no
Plot09,SH,Hymenoptera,Mutilidae,1,no
Plot09,SH,Hymenoptera,Philanthidae,1,no
Plot09,SH,Hymenoptera,Scoliidae,1,no
Plot09,SH,Hymenoptera,Vespidae,3,no
Plot10,SH,Diptera,Bombylildae,1,yes
Plot10,SH,Diptera,Calliphoridae,6,no
Plot10,SH,Diptera,Muscidae,1,no
Plot10,SH,Diptera,Rhiniidae,1,no
Plot10,SH,Diptera,Sarcophagidae,1,no
Plot10,SH,Diptera,Syrphidae,1,yes
Plot10,SH,Hymenoptera,Apidae,7,yes
Plot10,SH,Hymenoptera,Braconidae,1,no
Plot10,SH,Hymenoptera,Ichneumonidae,1,no
Plot10,SH,Hymenoptera,Mutilidae,1,no
Plot10,SH,Hymenoptera,Philanthidae,1,no
Plot10,SH,Hymenoptera,Scoliidae,1,no
Plot10,SH,Hymenoptera,Vespidae,4,no
Plot11,SH,Diptera,Bombylildae,1,yes
Plot11,SH,Diptera,Calliphoridae,3,no
Plot11,SH,Diptera,Muscidae,1,no
Plot11,SH,Diptera,Rhiniidae,1,no
Plot11,SH,Diptera,Sarcophagidae,1,no
Plot11,SH,Diptera,Syrphidae,6,yes
Plot11,SH,Hymenoptera,Apidae,21,yes
Plot11,SH,Hymenoptera,Braconidae,1,no
Plot11,SH,Hymenoptera,Ichneumonidae,1,no
Plot11,SH,Hymenoptera,Mutilidae,1,no
Plot11,SH,Hymenoptera,Philanthidae,1,no
Plot11,SH,Hymenoptera,Scoliidae,1,no
Plot11,SH,Hymenoptera,Vespidae,3,no
Plot12,SH,Diptera,Bombylildae,1,yes
Plot12,SH,Diptera,Calliphoridae,1,no
Plot12,SH,Diptera,Muscidae,1,no
Plot12,SH,Diptera,Rhiniidae,1,no
Plot12,SH,Diptera,Sarcophagidae,1,no
Plot12,SH,Diptera,Syrphidae,3,yes
Plot12,SH,Hymenoptera,Apidae,1,yes
Plot12,SH,Hymenoptera,Braconidae,1,no
Plot12,SH,Hymenoptera,Ichneumonidae,1,no
Plot12,SH,Hymenoptera,Mutilidae,1,no
Plot12,SH,Hymenoptera,Philanthidae,1,no
Plot12,SH,Hymenoptera,Scoliidae,1,no
Plot12,SH,Hymenoptera,Vespidae,1,no
Plot13,SH,Diptera,Bombylildae,1,yes
Plot13,SH,Diptera,Calliphoridae,1,no
Plot13,SH,Diptera,Muscidae,1,no
Plot13,SH,Diptera,Rhiniidae,1,no
Plot13,SH,Diptera,Sarcophagidae,1,no
Plot13,SH,Diptera,Syrphidae,6,yes
Plot13,SH,Hymenoptera,Apidae,19,yes
Plot13,SH,Hymenoptera,Braconidae,1,no
Plot13,SH,Hymenoptera,Ichneumonidae,1,no
Plot13,SH,Hymenoptera,Mutilidae,1,no
Plot13,SH,Hymenoptera,Philanthidae,1,no
Plot13,SH,Hymenoptera,Scoliidae,1,no
Plot13,SH,Hymenoptera,Vespidae,1,no
Plot14,SH,Diptera,Bombylildae,1,yes
Plot14,SH,Diptera,Calliphoridae,6,no
Plot14,SH,Diptera,Muscidae,1,no
Plot14,SH,Diptera,Rhiniidae,1,no
Plot14,SH,Diptera,Sarcophagidae,1,no
Plot14,SH,Diptera,Syrphidae,3,yes
Plot14,SH,Hymenoptera,Apidae,8,yes
Plot14,SH,Hymenoptera,Braconidae,1,no
Plot14,SH,Hymenoptera,Ichneumonidae,1,no
Plot14,SH,Hymenoptera,Mutilidae,1,no
Plot14,SH,Hymenoptera,Philanthidae,1,no
Plot14,SH,Hymenoptera,Scoliidae,1,no
Plot14,SH,Hymenoptera,Vespidae,1,no
Plot15,SH,Diptera,Bombylildae,1,yes
Plot15,SH,Diptera,Calliphoridae,4,no
Plot15,SH,Diptera,Muscidae,1,no
Plot15,SH,Diptera,Rhiniidae,1,no
Plot15,SH,Diptera,Sarcophagidae,1,no
Plot15,SH,Diptera,Syrphidae,4,yes
Plot15,SH,Hymenoptera,Apidae,24,yes
Plot15,SH,Hymenoptera,Braconidae,1,no
Plot15,SH,Hymenoptera,Ichneumonidae,1,no
Plot15,SH,Hymenoptera,Mutilidae,1,no
Plot15,SH,Hymenoptera,Philanthidae,1,no
Plot15,SH,Hymenoptera,Scoliidae,1,no
Plot15,SH,Hymenoptera,Vespidae,1,no
Plot16,SH,Diptera,Bombylildae,1,yes
Plot16,SH,Diptera,Calliphoridae,1,no
Plot16,SH,Diptera,Muscidae,1,no
Plot16,SH,Diptera,Rhiniidae,3,no
Plot16,SH,Diptera,Sarcophagidae,1,no
Plot16,SH,Diptera,Syrphidae,5,yes
Plot16,SH,Hymenoptera,Apidae,16,yes
Plot16,SH,Hymenoptera,Braconidae,1,no
Plot16,SH,Hymenoptera,Ichneumonidae,1,no
Plot16,SH,Hymenoptera,Mutilidae,1,no
Plot16,SH,Hymenoptera,Philanthidae,1,no
Plot16,SH,Hymenoptera,Scoliidae,1,no
Plot16,SH,Hymenoptera,Vespidae,1,no
Plot17,SH,Diptera,Bombylildae,1,yes
Plot17,SH,Diptera,Calliphoridae,3,no
Plot17,SH,Diptera,Muscidae,1,no
Plot17,SH,Diptera,Rhiniidae,1,no
Plot17,SH,Diptera,Sarcophagidae,1,no
Plot17,SH,Diptera,Syrphidae,4,yes
Plot17,SH,Hymenoptera,Apidae,23,yes
Plot17,SH,Hymenoptera,Braconidae,1,no
Plot17,SH,Hymenoptera,Ichneumonidae,1,no
Plot17,SH,Hymenoptera,Mutilidae,1,no
Plot17,SH,Hymenoptera,Philanthidae,1,no
Plot17,SH,Hymenoptera,Scoliidae,1,no
Plot17,SH,Hymenoptera,Vespidae,1,no
Plot18,SH,Diptera,Bombylildae,1,yes
Plot18,SH,Diptera,Calliphoridae,3,no
Plot18,SH,Diptera,Muscidae,1,no
Plot18,SH,Diptera,Rhiniidae,1,no
Plot18,SH,Diptera,Sarcophagidae,1,no
Plot18,SH,Diptera,Syrphidae,1,yes
Plot18,SH,Hymenoptera,Apidae,19,yes
Plot18,SH,Hymenoptera,Braconidae,1,no
Plot18,SH,Hymenoptera,Ichneumonidae,1,no
Plot18,SH,Hymenoptera,Mutilidae,1,no
Plot18,SH,Hymenoptera,Philanthidae,1,no
Plot18,SH,Hymenoptera,Scoliidae,1,no
Plot18,SH,Hymenoptera,Vespidae,1,no
Plot19,SH,Diptera,Bombylildae,1,yes
Plot19,SH,Diptera,Calliphoridae,4,no
Plot19,SH,Diptera,Muscidae,1,no
Plot19,SH,Diptera,Rhiniidae,3,no
Plot19,SH,Diptera,Sarcophagidae,1,no
Plot19,SH,Diptera,Syrphidae,5,yes
