Plot,FPractice,Order,Family,Number,Pollinator
Plot19,SH,Hymenoptera,Apidae,12,yes
Plot19,SH,Hymenoptera,Braconidae,1,no
Plot19,SH,Hymenoptera,Ichneumonidae,1,no
Plot19,SH,Hymenoptera,Mutilidae,1,no
Plot19,SH,Hymenoptera,Philanthidae,1,no
Plot19,SH,Hymenoptera,Scoliidae,1,no
Plot19,SH,Hymenoptera,Vespidae,1,no
Plot20,SH,Diptera,Bombylildae,1,yes
Plot20,SH,Diptera,Calliphoridae,3,no
Plot20,SH,Diptera,Muscidae,1,no
Plot20,SH,Diptera,Rhiniidae,1,no
Plot20,SH,Diptera,Sarcophagidae,1,no
Plot20,SH,Diptera,Syrphidae,3,yes
Plot20,SH,Hymenoptera,Apidae,11,yes
Plot20,SH,Hymenoptera,Braconidae,1,no
Plot20,SH,Hymenoptera,Ichneumonidae,1,no
Plot20,SH,Hymenoptera,Mutilidae,1,no
Plot20,SH,Hymenoptera,Philanthidae,1,no
Plot20,SH,Hymenoptera,Scoliidae,1,no
Plot20,SH,Hymenoptera,Vespidae,1,no
Plot21,SH,Diptera,Bombylildae,1,yes
Plot21,SH,Diptera,Calliphoridae,1,no
Plot21,SH,Diptera,Muscidae,1,no
Plot21,SH,Diptera,Rhiniidae,1,no
Plot21,SH,Diptera,Sarcophagidae,1,no
Plot21,SH,Diptera,Syrphidae,1,yes
Plot21,SH,Hymenoptera,Apidae,47,yes
Plot21,SH,Hymenoptera,Braconidae,1,no
Plot21,SH,Hymenoptera,Ichneumonidae,1,no
Plot21,SH,Hymenoptera,Mutilidae,1,no
Plot21,SH,Hymenoptera,Philanthidae,1,no
Plot21,SH,Hymenoptera,Scoliidae,1,no
Plot21,SH,Hymenoptera,Vespidae,1,no
Plot22,SH,Diptera,Bombylildae,1,yes
Plot22,SH,Diptera,Calliphoridae,8,no
Plot22,SH,Diptera,Muscidae,1,no
Plot22,SH,Diptera,Rhiniidae,3,no
Plot22,SH,Diptera,Sarcophagidae,1,no
Plot22,SH,Diptera,Syrphidae,4,yes
Plot22,SH,Hymenoptera,Apidae,12,yes
Plot22,SH,Hymenoptera,Braconidae,1,no
Plot22,SH,Hymenoptera,Ichneumonidae,1,no
Plot22,SH,Hymenoptera,Mutilidae,1,no
Plot22,SH,Hymenoptera,Philanthidae,1,no
Plot22,SH,Hymenoptera,Scoliidae,1,no
Plot22,SH,Hymenoptera,Vespidae,1,no
Plot23,SH,Diptera,Bombylildae,1,yes
Plot23,SH,Diptera,Calliphoridae,1,no
Plot23,SH,Diptera,Muscidae,1,no
Plot23,SH,Diptera,Rhiniidae,1,no
Plot23,SH,Diptera,Sarcophagidae,1,no
Plot23,SH,Diptera,Syrphidae,1,yes
Plot23,SH,Hymenoptera,Apidae,26,yes
Plot23,SH,Hymenoptera,Braconidae,1,no
Plot23,SH,Hymenoptera,Ichneumonidae,1,no
Plot23,SH,Hymenoptera,Mutilidae,1,no
Plot23,SH,Hymenoptera,Philanthidae,1,no
Plot23,SH,Hymenoptera,Scoliidae,1,no
Plot23,SH,Hymenoptera,Vespidae,3,no
Plot24,SH,Diptera,Bombylildae,3,yes
Plot24,SH,Diptera,Calliphoridae,4,no
Plot24,SH,Diptera,Muscidae,1,no
Plot24,SH,Diptera,Rhiniidae,1,no
Plot24,SH,Diptera,Sarcophagidae,1,no
Plot24,SH,Diptera,Syrphidae,5,yes
Plot24,SH,Hymenoptera,Apidae,9,yes
Plot24,SH,Hymenoptera,Braconidae,1,no
Plot24,SH,Hymenoptera,Ichneumonidae,1,no
Plot24,SH,Hymenoptera,Mutilidae,3,no
Plot24,SH,Hymenoptera,Philanthidae,1,no
Plot24,SH,Hymenoptera,Scoliidae,1,no
Plot24,SH,Hymenoptera,Vespidae,3,no
Plot25,SH,Diptera,Bombylildae,1,yes
Plot25,SH,Diptera,Calliphoridae,1,no
Plot25,SH,Diptera,Muscidae,3,no
Plot25,SH,Diptera,Rhiniidae,3,no
Plot25,SH,Diptera,Sarcophagidae,1,no
Plot25,SH,Diptera,Syrphidae,3,yes
Plot25,SH,Hymenoptera,Apidae,20,yes
Plot25,SH,Hymenoptera,Braconidae,1,no
Plot25,SH,Hymenoptera,Ichneumonidae,1,no
Plot25,SH,Hymenoptera,Mutilidae,1,no
Plot25,SH,Hymenoptera,Philanthidae,1,no
Plot25,SH,Hymenoptera,Scoliidae,1,no
Plot25,SH,Hymenoptera,Vespidae,1,no
Plot26,SH,Diptera,Bombylildae,1,yes
Plot26,SH,Diptera,Calliphoridae,5,no
Plot26,SH,Diptera,Muscidae,1,no
Plot26,SH,Diptera,Rhiniidae,1,no
Plot26,SH,Diptera,Sarcophagidae,1,no
Plot26,SH,Diptera,Syrphidae,3,yes
Plot26,SH,Hymenoptera,Apidae,16,yes
Plot26,SH,Hymenoptera,Braconidae,1,no
Plot26,SH,Hymenoptera,Ichneumonidae,1,no
Plot26,SH,Hymenoptera,Mutilidae,1,no
Plot26,SH,Hymenoptera,Philanthidae,1,no
Plot26,SH,Hymenoptera,Scoliidae,1,no
Plot26,SH,Hymenoptera,Vespidae,3,no
Plot27,SH,Diptera,Bombylildae,1,yes
Plot27,SH,Diptera,Calliphoridae,3,no
Plot27,SH,Diptera,Muscidae,3,no
Plot27,SH,Diptera,Rhiniidae,1,no
Plot27,SH,Diptera,Sarcophagidae,1,no
Plot27,SH,Diptera,Syrphidae,1,yes
Plot27,SH,Hymenoptera,Apidae,22,yes
Plot27,SH,Hymenoptera,Braconidae,1,no
Plot27,SH,Hymenoptera,Ichneumonidae,1,no
Plot27,SH,Hymenoptera,Mutilidae,1,no
Plot27,SH,Hymenoptera,Philanthidae,1,no
Plot27,SH,Hymenoptera,Scoliidae,1,no
Plot27,SH,Hymenoptera,Vespidae,1,no
Plot28,SH,Diptera,Bombylildae,4,yes
Plot28,SH,Diptera,Calliphoridae,1,no
Plot28,SH,Diptera,Muscidae,1,no
Plot28,SH,Diptera,Rhiniidae,1,no
Plot28,SH,Diptera,Sarcophagidae,1,no
Plot28,SH,Diptera,Syrphidae,1,yes
Plot28,SH,Hymenoptera,Apidae,1,yes
Plot28,SH,Hymenoptera,Braconidae,1,no
Plot28,SH,Hymenoptera,Ichneumonidae,1,no
Plot28,SH,Hymenoptera,Mutilidae,1,no
Plot28,SH,Hymenoptera,Philanthidae,1,no
Plot28,SH,Hymenoptera,Scoliidae,1,no
Plot28,SH,Hymenoptera,Vespidae,1,no
Plot29,SH,Diptera,Bombylildae,1,yes
Plot29,SH,Diptera,Calliphoridae,3,no
Plot29,SH,Diptera,Muscidae,1,no
Plot29,SH,Diptera,Rhiniidae,3,no
Plot29,SH,Diptera,Sarcophagidae,3,no
Plot29,SH,Diptera,Syrphidae,5,yes
Plot29,SH,Hymenoptera,Apidae,15,yes
Plot29,SH,Hymenoptera,Braconidae,1,no
Plot29,SH,Hymenoptera,Ichneumonidae,1,no
Plot29,SH,Hymenoptera,Mutilidae,1,no
Plot29,SH,Hymenoptera,Philanthidae,3,no
Plot29,SH,Hymenoptera,Scoliidae,1,no
Plot29,SH,Hymenoptera,Vespidae,1,no
Plot30,SH,Diptera,Bombylildae,1,yes
Plot30,SH,Diptera,Calliphoridae,9,no
Plot30,SH,Diptera,Muscidae,1,no
Plot30,SH,Diptera,Rhiniidae,3,no
Plot30,SH,Diptera,Sarcophagidae,1,no
Plot30,SH,Diptera,Syrphidae,5,yes
Plot30,SH,Hymenoptera,Apidae,38,yes
Plot30,SH,Hymenoptera,Braconidae,1,no
Plot30,SH,Hymenoptera,Ichneumonidae,1,no
Plot30,SH,Hymenoptera,Mutilidae,1,no
Plot30,SH,Hymenoptera,Philanthidae,1,no
Plot30,SH,Hymenoptera,Scoliidae,1,no
Plot30,SH,Hymenoptera,Vespidae,1,no
Plot31,SH,Diptera,Bombylildae,1,yes
Plot31,SH,Diptera,Calliphoridae,3,no
Plot31,SH,Diptera,Muscidae,1,no
Plot31,SH,Diptera,Rhiniidae,1,no
Plot31,SH,Diptera,Sarcophagidae,1,no
Plot31,SH,Diptera,Syrphidae,3,yes
Plot31,SH,Hymenoptera,Apidae,16,yes
Plot31,SH,Hymenoptera,Braconidae,1,no
Plot31,SH,Hymenoptera,Ichneumonidae,1,no
Plot31,SH,Hymenoptera,Mutilidae,1,no
Plot31,SH,Hymenoptera,Philanthidae,1,no
Plot31,SH,Hymenoptera,Scoliidae,3,no
Plot31,SH,Hymenoptera,Vespidae,1,no
Plot32,SH,Diptera,Bombylildae,1,yes
Plot32,SH,Diptera,Calliphoridae,5,no
Plot32,SH,Diptera,Muscidae,1,no
Plot32,SH,Diptera,Rhiniidae,1,no
Plot32,SH,Diptera,Sarcophagidae,1,no
Plot32,SH,Diptera,Syrphidae,1,yes
Plot32,SH,Hymenoptera,Apidae,6,yes
Plot32,SH,Hymenoptera,Braconidae,1,no
Plot32,SH,Hymenoptera,Ichneumonidae,1,no
Plot32,SH,Hymenoptera,Mutilidae,1,no
Plot32,SH,Hymenoptera,Philanthidae,1,no
Plot32,SH,Hymenoptera,Scoliidae,1,no
Plot32,SH,Hymenoptera,Vespidae,1,no
Plot33,SH,Diptera,Bombylildae,1,yes
Plot33,SH,Diptera,Calliphoridae,5,no
Plot33,SH,Diptera,Muscidae,1,no
Plot33,SH,Diptera,Rhiniidae,1,no
Plot33,SH,Diptera,Sarcophagidae,1,no
Plot33,SH,Diptera,Syrphidae,4,yes
Plot33,SH,Hymenoptera,Apidae,1,yes
Plot33,SH,Hymenoptera,Braconidae,1,no
Plot33,SH,Hymenoptera,Ichneumonidae,1,no
Plot33,SH,Hymenoptera,Mutilidae,1,no
Plot33,SH,Hymenoptera,Philanthidae,1,no
Plot33,SH,Hymenoptera,Scoliidae,1,no
Plot33,SH,Hymenoptera,Vespidae,1,no
Plot34,SH,Diptera,Bombylildae,1,yes
Plot34,SH,Diptera,Calliphoridae,8,no
Plot34,SH,Diptera,Muscidae,1,no
Plot34,SH,Diptera,Rhiniidae,1,no
Plot34,SH,Diptera,Sarcophagidae,1,no
Plot34,SH,Diptera,Syrphidae,1,yes
Plot34,SH,Hymenoptera,Apidae,6,yes
Plot34,SH,Hymenoptera,Braconidae,1,no
Plot34,SH,Hymenoptera,Ichneumonidae,1,no
Plot34,SH,Hymenoptera,Mutilidae,1,no
Plot34,SH,Hymenoptera,Philanthidae,1,no
Plot34,SH,Hymenoptera,Scoliidae,1,no
Plot34,SH,Hymenoptera,Vespidae,1,no
Plot35,SH,Diptera,Bombylildae,1,yes
Plot35,SH,Diptera,Calliphoridae,6,no
Plot35,SH,Diptera,Muscidae,1,no
Plot35,SH,Diptera,Rhiniidae,3,no
Plot35,SH,Diptera,Sarcophagidae,1,no
Plot35,SH,Diptera,Syrphidae,4,yes
Plot35,SH,Hymenoptera,Apidae,8,yes
Plot35,SH,Hymenoptera,Braconidae,1,no
Plot35,SH,Hymenoptera,Ichneumonidae,1,no
Plot35,SH,Hymenoptera,Mutilidae,1,no
Plot35,SH,Hymenoptera,Philanthidae,1,no
Plot35,SH,Hymenoptera,Scoliidae,1,no
Plot35,SH,Hymenoptera,Vespidae,1,no
Plot36,SH,Diptera,Bombylildae,1,yes
Plot36,SH,Diptera,Calliphoridae,1,no
Plot36,SH,Diptera,Muscidae,1,no
Plot36,SH,Diptera,Rhiniidae,1,no
Plot36,SH,Diptera,Sarcophagidae,1,no
Plot36,SH,Diptera,Syrphidae,7,yes
Plot36,SH,Hymenoptera,Apidae,9,yes
Plot36,SH,Hymenoptera,Braconidae,1,no
Plot36,SH,Hymenoptera,Ichneumonidae,1,no
Plot36,SH,Hymenoptera,Mutilidae,1,no
Plot36,SH,Hymenoptera,Philanthidae,1,no
Plot36,SH,Hymenoptera,Scoliidae,1,no
Plot36,SH,Hymenoptera,Vespidae,1,no
Plot37,SH,Diptera,Bombylildae,1,yes
Plot37,SH,Diptera,Calliphoridae,1,no
Plot37,SH,Diptera,Muscidae,1,no
Plot37,SH,Diptera,Rhiniidae,1,no
Plot37,SH,Diptera,Sarcophagidae,1,no
Plot37,SH,Diptera,Syrphidae,1,yes
Plot37,SH,Hymenoptera,Apidae,13,yes
Plot37,SH,Hymenoptera,Braconidae,1,no
Plot37,SH,Hymenoptera,Ichneumonidae,1,no
Plot37,SH,Hymenoptera,Mutilidae,1,no
Plot37,SH,Hymenoptera,Philanthidae,1,no
Plot37,SH,Hymenoptera,Scoliidae,1,no
Plot37,SH,Hymenoptera,Vespidae,1,no
Plot38,SH,Diptera,Bombylildae,1,yes
Plot38,SH,Diptera,Calliphoridae,1,no
Plot38,SH,Diptera,Muscidae,1,no
Plot38,SH,Diptera,Rhiniidae,1,no
Plot38,SH,Diptera,Sarcophagidae,1,no
Plot38,SH,Diptera,Syrphidae,1,yes
Plot38,SH,Hymenoptera,Apidae,12,yes
Plot38,SH,Hymenoptera,Braconidae,1,no
Plot38,SH,Hymenoptera,Ichneumonidae,1,no
Plot38,SH,Hymenoptera,Mutilidae,1,no
Plot38,SH,Hymenoptera,Philanthidae,1,no
Plot38,SH,Hymenoptera,Scoliidae,1,no
Plot38,SH,Hymenoptera,Vespidae,1,no
Plot39,SH,Diptera,Bombylildae,1,yes
Plot39,SH,Diptera,Calliphoridae,3,no
Plot39,SH,Diptera,Muscidae,1,no
Plot39,SH,Diptera,Rhiniidae,1,no
Plot39,SH,Diptera,Sarcophagidae,1,no
Plot39,SH,Diptera,Syrphidae,6,yes
Plot39,SH,Hymenoptera,Apidae,1,yes
Plot39,SH,Hymenoptera,Braconidae,1,no
Plot39,SH,Hymenoptera,Ichneumonidae,1,no
Plot39,SH,Hymenoptera,Mutilidae,1,no
Plot39,SH,Hymenoptera,Philanthidae,1,no
Plot39,SH,Hymenoptera,Scoliidae,1,no
Plot39,SH,Hymenoptera,Vespidae,1,no
Plot40,SH,Diptera,Bombylildae,1,yes
Plot40,SH,Diptera,Calliphoridae,1,no
Plot40,SH,Diptera,Muscidae,1,no
Plot40,SH,Diptera,Rhiniidae,1,no
Plot40,SH,Diptera,Sarcophagidae,1,no
Plot40,SH,Diptera,Syrphidae,1,yes
Plot40,SH,Hymenoptera,Apidae,6,yes
Plot40,SH,Hymenoptera,Braconidae,1,no
Plot40,SH,Hymenoptera,Ichneumonidae,1,no
Plot40,SH,Hymenoptera,Mutilidae,1,no
Plot40,SH,Hymenoptera,Philanthidae,1,no
Plot40,SH,Hymenoptera,Scoliidae,1,no
Plot40,SH,Hymenoptera,Vespidae,1,no
Plot41,SH,Diptera,Bombylildae,1,yes
Plot41,SH,Diptera,Calliphoridae,3,no
Plot41,SH,Diptera,Muscidae,1,no
Plot41,SH,Diptera,Rhiniidae,1,no
Plot41,SH,Diptera,Sarcophagidae,1,no
Plot41,SH,Diptera,Syrphidae,1,yes
Plot41,SH,Hymenoptera,Apidae,8,yes
Plot41,SH,Hymenoptera,Braconidae,1,no
Plot41,SH,Hymenoptera,Ichneumonidae,1,no
Plot41,SH,Hymenoptera,Mutilidae,1,no
Plot41,SH,Hymenoptera,Philanthidae,1,no
Plot41,SH,Hymenoptera,Scoliidae,1,no
Plot41,SH,Hymenoptera,Vespidae,1,no
